epoch,accuracy,binary_crossentropy,loss,precision,recall,val_accuracy,val_binary_crossentropy,val_loss,val_precision,val_recall
0,0.8608622550964355,0.3179566562175751,1.4022268056869507,0.4851018786430359,0.5930321216583252,0.9276155829429626,0.07176852226257324,0.30667972564697266,0.6607005596160889,0.8234588503837585
1,0.916111946105957,0.0570216104388237,0.25147193670272827,0.6233053803443909,0.9481229186058044,0.9597960710525513,0.018057167530059814,0.077161505818367,0.7591798901557922,0.9769728779792786
2,0.9487333297729492,0.02634032443165779,0.11616379767656326,0.7304103970527649,0.9797309041023254,0.986936628818512,0.01589648425579071,0.06792851537466049,0.9131110906600952,0.9856080412864685
3,0.9775057435035706,0.018085714429616928,0.0797601118683815,0.8685429096221924,0.9809059500694275,0.9673849940299988,0.01587621495127678,0.06784190237522125,0.7952648997306824,0.9829695224761963
4,0.9773953557014465,0.015899093821644783,0.07011695951223373,0.8642000555992126,0.9866635203361511,0.9886165857315063,0.014299155212938786,0.06110284477472305,0.9206773638725281,0.9911249876022339
5,0.9752500057220459,0.015958404168486595,0.07037846744060516,0.8503861427307129,0.9897773265838623,0.9894565939903259,0.016827506944537163,0.07190694659948349,0.9234364628791809,0.9952026605606079
6,0.982924222946167,0.009739934466779232,0.04295423626899719,0.8934321999549866,0.9910110831260681,0.9907020926475525,0.01278031524270773,0.05461256951093674,0.9356883764266968,0.9911249876022339
7,0.9815834164619446,0.011206284165382385,0.049421001225709915,0.8874524831771851,0.9881322979927063,0.9889062643051147,0.01549575012177229,0.0662161111831665,0.9184350371360779,0.9966418743133545
8,0.9855349063873291,0.0069362446665763855,0.03058965504169464,0.9087581634521484,0.9918336272239685,0.9919476509094238,0.011574645526707172,0.049460530281066895,0.9418578147888184,0.9947229623794556
9,0.9862684011459351,0.006384988781064749,0.028158538043498993,0.9130622744560242,0.9921861290931702,0.9922952055931091,0.026347700506448746,0.11258842796087265,0.9474890828132629,0.9911249876022339
10,0.9863157272338867,0.007698287721723318,0.0339503288269043,0.9126889705657959,0.9930673837661743,0.9916000366210938,0.007703166920691729,0.03291700780391693,0.9390989542007446,0.9949628114700317
11,0.9885714650154114,0.00564293609932065,0.024885987862944603,0.9263030886650085,0.9939486384391785,0.9907310605049133,0.008657281287014484,0.03699410706758499,0.9335435628890991,0.9940033555030823
12,0.9907088875770569,0.004865518771111965,0.021457530558109283,0.9409897923469543,0.9930673837661743,0.9934248924255371,0.011853552423417568,0.05065234750509262,0.9539383053779602,0.9935235977172852
13,0.988847553730011,0.004941426683217287,0.021792292594909668,0.9292590618133545,0.9924798607826233,0.9932221174240112,0.012177751399576664,0.05203770846128464,0.949508786201477,0.9968817234039307
14,0.9902040958404541,0.006098635029047728,0.026895664632320404,0.9369219541549683,0.9939486384391785,0.9944096803665161,0.011778216809034348,0.050330422818660736,0.9623255729675293,0.9925641417503357
15,0.9901962280273438,0.010404696688055992,0.045885924249887466,0.939547598361969,0.990717351436615,0.9915131330490112,0.009124170057475567,0.03898920863866806,0.9386600255966187,0.9947229623794556
16,0.9916790127754211,0.004220525734126568,0.018613019958138466,0.9471266865730286,0.9934786558151245,0.9923531413078308,0.009471416473388672,0.040473055094480515,0.9444571137428284,0.9952026605606079
17,0.9903382062911987,0.0049714455381035805,0.021924640983343124,0.939706027507782,0.9916573762893677,0.9857490658760071,0.017550690099596977,0.07499723881483078,0.8997608423233032,0.9925641417503357
18,0.992838442325592,0.003406647825613618,0.015023729763925076,0.9557101726531982,0.9926561117172241,0.9948441386222839,0.00951406266540289,0.040655288845300674,0.9646100401878357,0.9937635064125061
19,0.9910953640937805,0.005207644775509834,0.022966276854276657,0.9458534121513367,0.9903648495674133,0.9924400448799133,0.012716289609670639,0.0543389767408371,0.9448997974395752,0.9954425692558289
20,0.9933589696884155,0.003672494553029537,0.01619613915681839,0.960389256477356,0.9914223551750183,0.9952207207679749,0.018779592588543892,0.08024854958057404,0.9671021699905396,0.9942432045936584
21,0.9915370345115662,0.004167747683823109,0.01838025078177452,0.9492900371551514,0.9898360967636108,0.9909628033638,0.027992738410830498,0.11961797624826431,0.9370043277740479,0.9918445944786072
22,0.9925466179847717,0.003451228141784668,0.015220321714878082,0.9554623961448669,0.9906585812568665,0.9923531413078308,0.01347555685788393,0.057583462446928024,0.9432463049888611,0.9966418743133545
23,0.9924519658088684,0.004809345118701458,0.021209752187132835,0.9555354118347168,0.9898360967636108,0.9934538006782532,0.009111335501074791,0.038934364914894104,0.9537399411201477,0.9940033555030823
24,0.9929172992706299,0.003862629411742091,0.017034631222486496,0.9577016830444336,0.9910110831260681,0.9943807125091553,0.022717468440532684,0.09707580506801605,0.9649122953414917,0.9894459247589111
25,0.9926018118858337,0.0042694141156971455,0.018828602507710457,0.9570851922035217,0.9892485737800598,0.9976248145103455,0.006735959090292454,0.028783956542611122,0.9882915019989014,0.9920844435691833
26,0.9937927722930908,0.0035079640801995993,0.015470532700419426,0.964199960231781,0.9905411005020142,0.9951048493385315,0.006595660001039505,0.0281844325363636,0.9653326869010925,0.9952026605606079
27,0.9937770366668701,0.0034980184864252806,0.015426683239638805,0.9635595083236694,0.9911286234855652,0.995365560054779,0.0077559929341077805,0.03314274549484253,0.9671405553817749,0.9954425692558289
28,0.9938164353370667,0.0045693498104810715,0.020151348784565926,0.962408185005188,0.9927148818969727,0.9960317611694336,0.007763085886836052,0.033173054456710815,0.9747998118400574,0.9928040504455566
