epoch,accuracy,binary_crossentropy,loss,precision,recall,val_accuracy,val_binary_crossentropy,val_loss,val_precision,val_recall
0,0.8791843056678772,0.202778622508049,1.8365273475646973,0.7583476305007935,0.852374255657196,0.9524551033973694,0.01659708097577095,0.1486200988292694,0.8631658554077148,0.9718590378761292
1,0.9540797472000122,0.023931270465254784,0.21674105525016785,0.878673255443573,0.9753254652023315,0.9628207683563232,0.006588707212358713,0.058999188244342804,0.8818429112434387,0.9901933073997498
2,0.9686841368675232,0.0121462969109416,0.11000679433345795,0.9112314581871033,0.9875330328941345,0.9862594604492188,0.0025229984894394875,0.022592423483729362,0.951928973197937,0.9977259635925293
3,0.9752575159072876,0.013262632302939892,0.12011704593896866,0.9262635707855225,0.9932072162628174,0.9758567214012146,0.003130250843241811,0.028030121698975563,0.9153655767440796,0.9999289512634277
4,0.9789109826087952,0.009894371032714844,0.08961150795221329,0.9376004934310913,0.9928991794586182,0.9859442114830017,0.0019153690664097667,0.017151350155472755,0.9493722319602966,0.9994314908981323
5,0.9818168878555298,0.006381767336279154,0.05779844895005226,0.9466419219970703,0.9928667545318604,0.9864078164100647,0.0029885529074817896,0.02676127478480339,0.9512822031974792,0.9990761876106262
6,0.9836669564247131,0.005263792350888252,0.047673262655735016,0.9522048234939575,0.9931747913360596,0.9844793081283569,0.0022287361789494753,0.019957425072789192,0.9442169666290283,0.9995736479759216
7,0.9866663813591003,0.005114351864904165,0.04631972685456276,0.962339460849762,0.99257493019104,0.9915257096290588,0.0016471849521622062,0.014749870635569096,0.9692562222480774,0.9992182850837708
8,0.9868906140327454,0.0051410021260380745,0.04656108841300011,0.9631680846214294,0.9924614429473877,0.9894859790802002,0.0018489157082512975,0.016556287184357643,0.9622150659561157,0.9989340305328369
9,0.9885771870613098,0.005004311446100473,0.04532304406166077,0.9672208428382874,0.9940502047538757,0.987779974937439,0.0020063668489456177,0.017966197803616524,0.9558833241462708,0.9992893934249878
10,0.9900861978530884,0.003379091154783964,0.030603762716054916,0.9731043577194214,0.9930450916290283,0.9957535862922668,0.0012096777791157365,0.010832171887159348,0.9873952269554138,0.9964468479156494
11,0.9902263283729553,0.003718131687492132,0.033674467355012894,0.9740505814552307,0.9925262928009033,0.9912475943565369,0.001451856573112309,0.013000784441828728,0.9682550430297852,0.9992182850837708
12,0.9870914816856384,0.00475999154150486,0.04311031848192215,0.9645515084266663,0.9916508793830872,0.9933058619499207,0.001374396262690425,0.012307158671319485,0.9761756062507629,0.9987208843231201
13,0.9901703000068665,0.0034122217912226915,0.030903922393918037,0.9727816581726074,0.9936935901641846,0.991414487361908,0.0014832167653366923,0.013281602412462234,0.9691141247749329,0.9989340305328369
14,0.990282416343689,0.003711385652422905,0.03361336886882782,0.9736787676811218,0.9931261539459229,0.996235728263855,0.0015281280502676964,0.013683764263987541,0.9944385290145874,0.9911171197891235
15,0.9901002049446106,0.004377989564090967,0.03965064510703087,0.9737076759338379,0.9924452304840088,0.994585394859314,0.0010320177534595132,0.009241298772394657,0.9811452627182007,0.9984366297721863
16,0.991702675819397,0.00356824928894639,0.03231702372431755,0.9785898327827454,0.992931604385376,0.9979231357574463,0.0009960340103134513,0.00891907885670662,0.9943342804908752,0.9977259635925293
17,0.9918848872184753,0.002706218743696809,0.024509703740477562,0.9788784384727478,0.993272066116333,0.9969403743743896,0.001140790875069797,0.010215317830443382,0.9899936318397522,0.9983655214309692
18,0.9920764565467834,0.0029360696207731962,0.026591386646032333,0.9792595505714417,0.9935476779937744,0.9977562427520752,0.0009823567233979702,0.008796604350209236,0.9930727481842041,0.9983655214309692
19,0.9905113577842712,0.004302318207919598,0.03896530717611313,0.974951446056366,0.99257493019104,0.9902833700180054,0.0014619749272242188,0.013091390021145344,0.9650555849075317,0.9989340305328369
20,0.9922259449958801,0.002602342516183853,0.02356894128024578,0.9799293279647827,0.9933693408966064,0.9969589114189148,0.0018279282376170158,0.016368351876735687,0.9963597655296326,0.991969883441925
21,0.9921091198921204,0.002647526329383254,0.02397812530398369,0.9787111878395081,0.9942447543144226,0.9941032528877258,0.00104236020706594,0.00933391135185957,0.9793670773506165,0.9984366297721863
22,0.992875337600708,0.0021643531508743763,0.019602136686444283,0.9819271564483643,0.9935638904571533,0.993658185005188,0.001441940781660378,0.012911992147564888,0.9772664308547974,0.9989340305328369
23,0.9929547309875488,0.0026096245273947716,0.0236348956823349,0.9828446507453918,0.9928829669952393,0.998349666595459,0.0008699767640791833,0.0077902874909341335,0.9953942894935608,0.998294472694397
24,0.992744505405426,0.0025475523434579372,0.0230727456510067,0.9827857613563538,0.9922020435333252,0.9952714443206787,0.001495376112870872,0.01339048333466053,0.9833484888076782,0.9987919330596924
25,0.9930669069290161,0.0019328035414218903,0.017505023628473282,0.9833009243011475,0.9928019046783447,0.9945297241210938,0.001094762934371829,0.00980315636843443,0.9806041717529297,0.9987919330596924
26,0.9931042790412903,0.002675269963219762,0.02422938123345375,0.9827450513839722,0.9935152530670166,0.9923416376113892,0.0018945690244436264,0.016965094953775406,0.9961496591567993,0.9744172692298889
27,0.99345463514328,0.0021055645775049925,0.019069718196988106,0.9837575554847717,0.9936935901641846,0.9958648681640625,0.0009766295552253723,0.00874532014131546,0.9854869246482849,0.9988629817962646
28,0.9936835765838623,0.002060717437416315,0.01866355538368225,0.9845474362373352,0.9936773777008057,0.9964211583137512,0.0009819666156545281,0.008793111890554428,0.988250195980072,0.9981523752212524
29,0.993585467338562,0.0022863515187054873,0.02070706896483898,0.983951210975647,0.9939529299736023,0.9926012754440308,0.0018408071482554078,0.01648367941379547,0.9738027453422546,0.9985076785087585
30,0.9936368465423584,0.0019106353865936399,0.017304247245192528,0.9849968552589417,0.9930450916290283,0.9955866932868958,0.0011016270145773888,0.009864621795713902,0.9849950671195984,0.998294472694397
31,0.9939265251159668,0.0019061242928728461,0.017263367772102356,0.9855265617370605,0.9935152530670166,0.9966251254081726,0.0014686738140881062,0.013151376508176327,0.9885340332984924,0.9986497759819031
32,0.9941554069519043,0.001908245962113142,0.017282642424106598,0.9861942529678345,0.993628740310669,0.9940291047096252,0.0014112862991169095,0.012637494131922722,0.9786937832832336,0.9988629817962646
33,0.994057297706604,0.0032208822667598724,0.029170937836170197,0.9864087700843811,0.9930613040924072,0.9849799871444702,0.00489168893545866,0.043803080916404724,0.9468328952789307,0.9985076785087585
34,0.9944730997085571,0.0016014234861359,0.014503799378871918,0.9871960282325745,0.9937098026275635,0.9936953186988831,0.0013029788387939334,0.011667645536363125,0.9772695899009705,0.9990761876106262
35,0.9939171671867371,0.0025004111230373383,0.02264576032757759,0.9861515760421753,0.9928343296051025,0.9956052303314209,0.0009192515281029046,0.00823152344673872,0.9846563339233398,0.9987208843231201
36,0.9938284158706665,0.0017852435121312737,0.01616859622299671,0.9853187203407288,0.9933855533599854,0.9958648681640625,0.0012622553622350097,0.011302982456982136,0.9984164834022522,0.9857163429260254
37,0.9928379654884338,0.00351315108127892,0.03181793913245201,0.9820483922958374,0.9933044910430908,0.9980158805847168,0.0009208687697537243,0.008246004581451416,0.9967982769012451,0.9955940842628479
38,0.9939825534820557,0.002177545800805092,0.019721612334251404,0.9860295057296753,0.9931910037994385,0.9948820471763611,0.0013565102126449347,0.012146996334195137,0.9825801253318787,0.9980812668800354
39,0.9939732551574707,0.004699165001511574,0.04255945235490799,0.9869696497917175,0.9921858310699463,0.9927124977111816,0.0012548030354082584,0.011236249469220638,0.9745368957519531,0.9981523752212524
40,0.9943749904632568,0.00204956135712564,0.01856250688433647,0.9871289134025574,0.9934341907501221,0.9923601746559143,0.0012567414669319987,0.011253608390688896,0.9727952480316162,0.9986497759819031
41,0.9951739311218262,0.0014864742988720536,0.013462718576192856,0.9884353876113892,0.9948932528495789,0.9965324401855469,0.002219364745542407,0.01987350732088089,0.9986353516578674,0.9880614280700684
42,0.9948281645774841,0.001916316570714116,0.017355715855956078,0.9881539344787598,0.9939691424369812,0.996829092502594,0.0013594822958111763,0.012173610739409924,0.9982079863548279,0.9896247982978821
43,0.9943563342094421,0.0024375540670007467,0.02207646332681179,0.9871594309806824,0.9933369159698486,0.9959575533866882,0.00111101265065372,0.009948666207492352,0.9857643842697144,0.9989340305328369
44,0.9943796992301941,0.001960192574188113,0.017753111198544502,0.9881198406219482,0.9924290180206299,0.9972184896469116,0.0011423402465879917,0.010229191742837429,0.9955153465270996,0.9938175082206726
45,0.9950851202011108,0.0019690580666065216,0.017833365127444267,0.9892674684524536,0.9937260150909424,0.9987390637397766,0.0008381773950532079,0.007505537010729313,0.9968776702880859,0.998294472694397
46,0.9944871664047241,0.0018724524416029453,0.0169584471732378,0.9867262840270996,0.9942447543144226,0.9965695142745972,0.0022188688162714243,0.019869066774845123,0.9881881475448608,0.9987919330596924
47,0.994650661945343,0.001409302232787013,0.012763774022459984,0.9877848029136658,0.9937260150909424,0.9964396953582764,0.0014914157800376415,0.013355021364986897,0.998205304145813,0.9881324768066406
48,0.9948608875274658,0.0014911796897649765,0.013505343347787857,0.9881395697593689,0.9940988421440125,0.9979602694511414,0.0008081638952717185,0.007236778270453215,0.996726930141449,0.9954519867897034
